Tier,Company,Parent,HQ,Product,Why_Match,Suggested_Contact_Search,Existing_Sister_Company
B,Saturn Fasteners,Fontana Gruppo / Acument,Frankfort IN,Auto-fastener cold-heading,"Fontana family; we serve Camcar (sibling)","Plant Manager Saturn Fasteners Frankfort IN",Camcar/Fontana
B,FastenMaster,Steel Partners (OMG sibling),Agawam MA,Structural wood fasteners,"OMG's sibling brand; we make 4061 OMG programs","Sourcing FastenMaster Agawam",OMG
B,Tiger Claw,Steel Partners (OMG sibling),Plainville CT,Deck-clip systems,"OMG's sibling brand","Operations Tiger Claw Plainville",OMG
B,SFS Sycamore,SFS Group,Sycamore IL,Fastener manufacturing,"VERY close geographically (~50 mi from JM)","Plant Manager SFS Sycamore IL",SFS Group
B,SFS Hopkinton,SFS Group,Hopkinton MA,Automotive fastening,"SFS US automotive arm","Procurement SFS Hopkinton MA",SFS Group
B,EJOT-Atlas Tarleton,EJOT Holding,Bedford VA / Greer SC,Specialty fasteners,"EJOT US arm","Sourcing EJOT Atlas Tarleton",EJOT
B,Agrati US,Agrati Group,Oneida TN,Cold-formed automotive fasteners,"Agrati US plant","Operations Agrati Oneida TN",Agrati
C,Carlisle Construction Materials,Carlisle Companies (NYSE CSL),Carlisle PA,Commercial roofing,"Roofing fastener tooling; competes with OMG","Procurement Director Carlisle Construction Materials",none
C,GAF Materials Corp,Standard Industries,Parsippany NJ,Roofing materials,"Largest US roofing maker","Sourcing GAF Materials Standard Industries",none
C,Holcim Building Envelope,Holcim Group,Indianapolis IN,Roofing/insulation (formerly Firestone),"Roofing fastener supply","Procurement Holcim Building Envelope",none
C,Simpson Strong-Tie,Simpson Manufacturing (NYSE SSD),Pleasanton CA,Construction connectors,"Captive die-tooling spend","VP Procurement Simpson Strong-Tie",none
C,Hilti Group US,Hilti Group,Plano TX,Direct-fastening + anchors,"Massive cold-formed-fastener supply","Sourcing Director Hilti North America",none
C,LISI Aerospace,LISI Group,Torrance CA,Aerospace fasteners,"Cold-headed tooling fit","Procurement LISI Aerospace Torrance",none
C,B&B Specialties,Private,Wichita KS,Aerospace specialty fasteners,"Aerospace tooling-intensive","Operations B&B Specialties Wichita",none
C,Lockwell Aerospace,Private,Burbank CA,Aerospace fastener distribution,"Specialty aerospace bolts","Sourcing Lockwell Aerospace Burbank",none
C,SPS Technologies,PCC / Berkshire Hathaway,Jenkintown PA,Aerospace fasteners,"Heavy die tooling user","Procurement SPS Technologies",none
C,Cherry Aerospace,PCC / Berkshire Hathaway,Santa Ana CA,Aerospace fasteners,"PCC family; cold-headed work","Sourcing Cherry Aerospace Santa Ana",none
C,Monogram Aerospace,TriMas Corp (NYSE TRS),Commerce CA,Aerospace fastening,"Cold-headed parts","Procurement Monogram Aerospace",none
C,Cold Heading Company,Private,Detroit MI,Auto cold-headed fasteners,"Major auto cold-header","Operations Cold Heading Company Detroit",none
C,MNP Corp,Private,Pewaukee WI,Cold-headed auto fasteners,"WI fastener belt","VP Operations MNP Pewaukee WI",none
C,Lakeshore Industries,Private,St Joseph MI,Auto fastening,"Auto Tier-2","Sourcing Lakeshore Industries St Joseph",none
C,National Machine Group,Private,Detroit MI,Auto cold-headed parts,"Auto cold-header","Operations National Machine Group Detroit",none
C,Chicago Rivet & Machine,Public (CVR),Naperville IL,Cold-headed fasteners,"Geographic neighbor","Sourcing Chicago Rivet & Machine Naperville IL",none
C,Pioneer Industrial Components,Private,Wheeling IL,Fastener mfg/distribution,"Northern IL cluster","Procurement Pioneer Industrial Wheeling IL",none
C,Rockford Acromatic Products,Private,Rockford IL,Screw machine products,"Northern IL cluster","Operations Rockford Acromatic Rockford IL",none
C,Heico Companies,Private,Warrenville IL,Industrial conglomerate (fastener portfolio),"Large contract-mfg spend","VP Procurement Heico Companies Warrenville IL",none
C,Würth Industry of North America,Würth Group,Greenwood IN,Industrial fastener distribution,"German conglomerate US arm","Sourcing Director Würth Industry North America",none
C,MSC Industrial Direct,Public (NYSE MSM),Melville NY,Industrial distribution,"Sources captive-line products","Procurement MSC Industrial Direct",none
